[INFO]  === Pre-flight checks ===
[INFO]  All input files found for 2 samples.
[INFO]  Output directory: /pastel/tools/circRNA_tools/test_data/decoupled_comparison
[INFO]  Joint pipeline: CIRI3_decoupled.jar (current source, -W 1)
[INFO]  Decoupled jar:  /pastel/Github_scripts/CIRI3/CIRI3_decoupled.jar
[INFO]  === Stage 0: ORIGINAL pipeline (CIRI3_Java_1.8.0.jar, -W 1, -Ma 1) ===
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=34 reads_seen=57428 reads_in_scan1IdMap=142 bsj_emitted=177
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=18 reads_seen=57090 reads_in_scan1IdMap=116 bsj_emitted=175
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=46 reads_seen=57378 reads_in_scan1IdMap=130 bsj_emitted=169
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=38 reads_seen=57124 reads_in_scan1IdMap=125 bsj_emitted=189
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=32 reads_seen=57281 reads_in_scan1IdMap=135 bsj_emitted=206
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=54 reads_seen=56923 reads_in_scan1IdMap=122 bsj_emitted=172
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=43 reads_seen=55407 reads_in_scan1IdMap=168 bsj_emitted=195
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=56 reads_seen=57084 reads_in_scan1IdMap=129 bsj_emitted=174
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=35 reads_seen=55550 reads_in_scan1IdMap=157 bsj_emitted=188
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=41 reads_seen=55395 reads_in_scan1IdMap=174 bsj_emitted=205
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=59 reads_seen=55720 reads_in_scan1IdMap=184 bsj_emitted=208
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=22 reads_seen=57373 reads_in_scan1IdMap=143 bsj_emitted=173
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=42 reads_seen=57481 reads_in_scan1IdMap=125 bsj_emitted=182
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=40 reads_seen=57273 reads_in_scan1IdMap=143 bsj_emitted=201
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=26 reads_seen=57357 reads_in_scan1IdMap=130 bsj_emitted=195
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=15 reads_seen=55296 reads_in_scan1IdMap=159 bsj_emitted=198
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=57 reads_seen=55314 reads_in_scan1IdMap=155 bsj_emitted=207
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=58 reads_seen=57667 reads_in_scan1IdMap=126 bsj_emitted=201
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=52 reads_seen=56921 reads_in_scan1IdMap=169 bsj_emitted=188
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=25 reads_seen=55747 reads_in_scan1IdMap=164 bsj_emitted=188
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=50 reads_seen=57203 reads_in_scan1IdMap=155 bsj_emitted=183
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=37 reads_seen=55493 reads_in_scan1IdMap=152 bsj_emitted=198
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=55 reads_seen=55167 reads_in_scan1IdMap=164 bsj_emitted=199
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=6 reads_seen=57787 reads_in_scan1IdMap=132 bsj_emitted=202
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=60 reads_seen=57495 reads_in_scan1IdMap=134 bsj_emitted=185
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=48 reads_seen=57028 reads_in_scan1IdMap=136 bsj_emitted=193
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=61 reads_seen=55748 reads_in_scan1IdMap=154 bsj_emitted=199
